Junction,CarCount,BusCount,BikeCount,TruckCount,TotalVehicles,Weather,Temperature,Hour,DayOfWeek,IsRushHour,IsWeekend,TrafficSituation
Junction C,45,11,24,3,83,Rainy,19.983815150970123,15,Wednesday,0,0,High
Junction B,57,9,22,6,94,Foggy,14.108567524425997,16,Wednesday,0,0,Severe
Junction C,69,13,26,15,123,Cloudy,10.097059604021288,17,Wednesday,1,0,High
Junction A,87,23,43,14,167,Cloudy,14.244262615264624,18,Wednesday,1,0,Severe
Junction C,65,16,30,11,122,Cloudy,11.026601212495514,19,Wednesday,1,0,High
Junction A,48,15,31,11,105,Cloudy,15.603472029242017,20,Wednesday,0,0,Medium
Junction C,34,5,18,5,62,Foggy,13.375844577815492,21,Wednesday,0,0,Medium
Junction A,44,12,19,6,81,Cloudy,16.11959142990839,22,Wednesday,0,0,Medium
Junction A,20,1,14,1,36,Stormy,14.59121340970552,23,Wednesday,0,0,Medium
Junction A,18,2,10,8,38,Cloudy,13.894349664784539,0,Thursday,0,0,Low
Junction A,26,5,5,0,36,Rainy,19.630046771305892,1,Thursday,0,0,Low
Junction B,26,6,9,4,45,Cloudy,16.581987988093225,2,Thursday,0,0,Low
Junction A,18,3,14,3,38,Rainy,14.512316986078034,3,Thursday,0,0,Low
Junction C,11,2,20,4,37,Foggy,11.776593681417868,4,Thursday,0,0,Low
Junction C,30,9,10,2,51,Cloudy,16.02862630096446,5,Thursday,0,0,Low
Junction C,18,6,14,3,41,Rainy,15.972517302680053,6,Thursday,0,0,Low
Junction C,61,14,20,9,104,Foggy,16.680728204156352,7,Thursday,1,0,Severe
Junction B,96,17,31,14,158,Rainy,18.603430611601265,8,Thursday,1,0,Severe
Junction A,83,15,29,13,140,Rainy,19.160299601857503,9,Thursday,1,0,Severe
Junction B,57,12,23,7,99,Rainy,11.675453352033658,10,Thursday,0,0,Severe
Junction B,56,15,30,8,109,Rainy,13.229357612443888,11,Thursday,0,0,Severe
Junction B,35,9,29,5,78,Rainy,13.533433963625953,12,Thursday,0,0,High
Junction B,64,12,25,13,114,Cloudy,17.597573781680655,13,Thursday,0,0,High
Junction A,63,7,36,11,117,Foggy,13.787342581202893,14,Thursday,0,0,Severe
Junction A,58,16,16,10,100,Cloudy,10.118173357782105,15,Thursday,0,0,Medium
Junction B,58,5,22,8,93,Foggy,16.51115949283202,16,Thursday,0,0,Severe
Junction C,53,16,29,8,106,Cloudy,16.729423666930614,17,Thursday,1,0,High
Junction A,94,15,29,12,150,Cloudy,12.152716259063816,18,Thursday,1,0,Severe
Junction C,75,20,24,11,130,Cloudy,16.30652681596854,19,Thursday,1,0,Severe
Junction C,46,11,16,8,81,Cloudy,15.929230878077101,20,Thursday,0,0,Medium
Junction B,63,10,9,10,92,Cloudy,14.527350286091036,21,Thursday,0,0,Medium
Junction A,37,5,25,11,78,Stormy,13.976120548634338,22,Thursday,0,0,Severe
Junction A,33,8,19,0,60,Rainy,11.943256520222498,23,Thursday,0,0,Medium
Junction A,28,2,16,5,51,Sunny,17.306187438988353,0,Friday,0,0,Low
Junction A,17,1,21,4,43,Sunny,26.622940948580187,1,Friday,0,0,Low
Junction C,14,3,5,4,26,Sunny,29.232148342567584,2,Friday,0,0,Low
Junction C,14,3,7,0,24,Rainy,25.47339018644507,3,Friday,0,0,Low
Junction A,30,3,16,3,52,Sunny,20.275327542981742,4,Friday,0,0,Low
Junction C,32,5,2,2,41,Sunny,28.830934007493134,5,Friday,0,0,Low
Junction A,19,11,9,3,42,Cloudy,22.1896052149125,6,Friday,0,0,Low
Junction B,77,20,32,16,145,Sunny,25.822038795242385,7,Friday,1,0,Severe
Junction B,93,20,39,17,169,Sunny,26.000393461355817,8,Friday,1,0,Severe
Junction B,96,24,33,10,163,Cloudy,25.842742599384522,9,Friday,1,0,Severe
Junction A,68,13,33,7,121,Cloudy,25.7273948781012,10,Friday,0,0,High
Junction A,76,14,29,20,139,Sunny,25.117003199804756,11,Friday,0,0,High
Junction B,62,22,32,8,124,Sunny,26.753597026619858,12,Friday,0,0,High
Junction A,77,14,24,4,119,Rainy,22.564722255105575,13,Friday,0,0,Severe
Junction A,65,20,28,14,127,Rainy,17.45072711649574,14,Friday,0,0,Severe
Junction C,70,15,27,13,125,Sunny,28.967580920071903,15,Friday,0,0,High
Junction C,50,13,27,7,97,Cloudy,19.77104449318113,16,Friday,0,0,Medium
Junction B,106,13,31,18,168,Sunny,26.49012095706116,17,Friday,1,0,Severe
Junction A,104,32,51,10,197,Cloudy,15.111181897141972,18,Friday,1,0,Severe
Junction B,88,12,27,16,143,Sunny,28.960255450734834,19,Friday,1,0,Severe
Junction A,48,16,20,9,93,Rainy,20.667720639633927,20,Friday,0,0,High
Junction B,53,10,18,7,88,Sunny,26.945304744992793,21,Friday,0,0,Medium
Junction C,42,8,21,5,76,Cloudy,16.285852841222713,22,Friday,0,0,Medium
Junction C,21,2,4,4,31,Sunny,15.150951035702601,23,Friday,0,0,Low
Junction C,6,0,16,2,24,Sunny,29.460426089309756,0,Saturday,0,1,Low
Junction B,19,8,10,1,38,Rainy,17.103779122668183,1,Saturday,0,1,Low
Junction B,14,5,16,3,38,Sunny,25.58570527988968,2,Saturday,0,1,Low
Junction B,21,4,11,4,40,Sunny,19.590847391019707,3,Saturday,0,1,Low
Junction B,11,3,5,4,23,Sunny,24.475622900891317,4,Saturday,0,1,Low
Junction C,24,9,12,3,48,Sunny,24.047812321459286,5,Saturday,0,1,Low
Junction B,13,7,10,2,32,Sunny,16.20799885959042,6,Saturday,0,1,Low
Junction B,58,10,24,4,96,Sunny,18.871966232779453,7,Saturday,1,1,Medium
Junction C,45,19,21,6,91,Cloudy,29.89879606777191,8,Saturday,1,1,Medium
Junction C,49,9,20,3,81,Rainy,18.71190207219597,9,Saturday,1,1,High
Junction B,30,3,23,3,59,Sunny,24.48997210501563,10,Saturday,0,1,Low
Junction A,56,9,17,9,91,Sunny,25.651788936067224,11,Saturday,0,1,Medium
Junction B,44,11,9,2,66,Sunny,21.12167928092599,12,Saturday,0,1,Medium
Junction C,23,3,16,5,47,Sunny,22.66592315350681,13,Saturday,0,1,Low
Junction C,41,5,15,3,64,Rainy,23.79438330368464,14,Saturday,0,1,Medium
Junction A,40,16,24,9,89,Cloudy,20.628575716903935,15,Saturday,0,1,Medium
Junction B,35,10,30,4,79,Sunny,26.286861215176184,16,Saturday,0,1,Medium
Junction B,51,16,18,5,90,Cloudy,26.423666862000754,17,Saturday,1,1,Medium
Junction A,81,9,38,7,135,Sunny,21.417168517381782,18,Saturday,1,1,High
Junction C,53,12,25,8,98,Cloudy,26.297383921155827,19,Saturday,1,1,Medium
Junction B,40,6,16,1,63,Sunny,19.53753923503351,20,Saturday,0,1,Medium
Junction C,18,10,12,5,45,Sunny,19.268195247073812,21,Saturday,0,1,Low
Junction A,26,9,8,6,49,Rainy,20.210984944185853,22,Saturday,0,1,Low
Junction A,24,5,4,4,37,Cloudy,28.819040935412048,23,Saturday,0,1,Low
Junction B,14,4,1,0,19,Rainy,15.184283934763457,0,Sunday,0,1,Low
Junction B,6,6,11,0,23,Cloudy,21.353447358743214,1,Sunday,0,1,Low
Junction A,2,4,11,0,17,Cloudy,23.9266671949107,2,Sunday,0,1,Low
Junction C,10,7,14,1,32,Cloudy,19.466261542409374,3,Sunday,0,1,Low
Junction C,6,5,8,2,21,Cloudy,27.44367289345572,4,Sunday,0,1,Low
Junction A,18,5,1,0,24,Rainy,28.86181525871807,5,Sunday,0,1,Low
Junction A,21,6,12,1,40,Sunny,18.89871093128326,6,Sunday,0,1,Low
Junction A,42,3,22,10,77,Rainy,17.267057952348637,7,Sunday,1,1,Medium
Junction B,57,15,9,11,92,Sunny,25.63244165565338,8,Sunday,1,1,Medium
Junction C,50,2,9,2,63,Sunny,17.733416855666828,9,Sunday,1,1,Low
Junction C,29,2,19,3,53,Sunny,29.781755460135358,10,Sunday,0,1,Low
Junction C,36,7,9,3,55,Sunny,26.471169812023692,11,Sunday,0,1,Low
Junction B,29,4,5,2,40,Rainy,25.56392385441325,12,Sunday,0,1,Low
Junction C,26,5,17,2,50,Rainy,29.062449787563914,13,Sunday,0,1,Medium
Junction B,29,9,21,5,64,Sunny,23.30953183210593,14,Sunday,0,1,Medium
Junction C,28,9,9,4,50,Sunny,25.943658473529965,15,Sunday,0,1,Low
Junction A,41,10,15,7,73,Cloudy,15.813039952565887,16,Sunday,0,1,Medium
Junction A,39,5,25,9,78,Rainy,18.66348089516893,17,Sunday,1,1,Medium
Junction B,61,11,27,7,106,Sunny,22.40446155194556,18,Sunday,1,1,High
Junction C,37,6,19,6,68,Sunny,27.916452146771277,19,Sunday,1,1,Medium
Junction A,24,5,15,2,46,Cloudy,20.310445818928866,20,Sunday,0,1,Low
Junction B,37,4,18,2,61,Sunny,25.580315161008166,21,Sunday,0,1,Medium
Junction B,26,5,6,5,42,Sunny,24.633124752672668,22,Sunday,0,1,Low
Junction A,23,3,3,0,29,Sunny,22.26027952004123,23,Sunday,0,1,Low
Junction C,23,6,12,1,42,Sunny,27.768557490327694,0,Monday,0,0,Low
Junction A,31,8,10,6,55,Sunny,27.73502326612979,1,Monday,0,0,Low
Junction B,27,8,5,7,47,Sunny,20.50451022816729,2,Monday,0,0,Low
Junction A,31,7,10,4,52,Sunny,23.89088324585908,3,Monday,0,0,Low
Junction C,12,4,3,0,19,Rainy,26.17903537550293,4,Monday,0,0,Low
Junction B,18,3,4,5,30,Sunny,24.018558690918155,5,Monday,0,0,Low
Junction C,15,9,8,4,36,Sunny,23.576510070315706,6,Monday,0,0,Low
Junction B,105,21,33,15,174,Sunny,22.42171839998839,7,Monday,1,0,Severe
Junction B,74,12,39,14,139,Sunny,22.715671847167965,8,Monday,1,0,Severe
Junction B,71,15,46,11,143,Sunny,20.12284003339955,9,Monday,1,0,Severe
Junction B,41,11,27,10,89,Rainy,24.29567010019361,10,Monday,0,0,High
Junction B,70,9,35,17,131,Sunny,16.59889887756329,11,Monday,0,0,Severe
Junction B,70,10,35,9,124,Rainy,26.923252571782786,12,Monday,0,0,Severe
Junction A,70,16,41,6,133,Cloudy,24.698441305309053,13,Monday,0,0,High
Junction C,58,5,14,4,81,Sunny,20.624607542231438,14,Monday,0,0,Medium
Junction C,38,21,27,4,90,Rainy,27.648832129689797,15,Monday,0,0,High
Junction B,52,13,32,9,106,Cloudy,27.63101647481264,16,Monday,0,0,High
Junction C,72,9,27,11,119,Rainy,23.570013522334257,17,Monday,1,0,Severe
Junction B,88,19,39,15,161,Sunny,21.126195662554284,18,Monday,1,0,Severe
Junction B,102,16,30,14,162,Sunny,28.74069028437176,19,Monday,1,0,Severe
Junction B,31,7,21,8,67,Cloudy,22.871819042266445,20,Monday,0,0,Medium
Junction C,49,10,19,9,87,Sunny,19.42324158991496,21,Monday,0,0,Medium
Junction A,47,10,16,8,81,Rainy,18.176196953807427,22,Monday,0,0,Medium
Junction C,28,2,10,3,43,Sunny,18.595303740688415,23,Monday,0,0,Low
Junction B,12,6,2,4,24,Rainy,25.947733541237827,0,Tuesday,0,0,Low
Junction C,24,10,14,2,50,Sunny,25.595033391774237,1,Tuesday,0,0,Low
Junction B,17,4,15,1,37,Rainy,20.892891645504562,2,Tuesday,0,0,Low
Junction B,11,4,17,2,34,Rainy,19.493518640844485,3,Tuesday,0,0,Low
Junction B,14,3,12,6,35,Sunny,25.731111822397434,4,Tuesday,0,0,Low
Junction B,27,7,5,4,43,Sunny,27.565447373527782,5,Tuesday,0,0,Low
Junction A,31,3,10,3,47,Sunny,23.420325425153106,6,Tuesday,0,0,Low
Junction C,71,17,18,8,114,Rainy,28.832203452759913,7,Tuesday,1,0,Severe
Junction A,94,18,34,14,160,Sunny,21.77539448593472,8,Tuesday,1,0,Severe
Junction B,72,17,39,8,136,Sunny,18.40184820573103,9,Tuesday,1,0,Severe
Junction C,49,15,28,4,96,Sunny,20.15331376304251,10,Tuesday,0,0,Medium
Junction A,61,10,30,9,110,Cloudy,24.124854312680995,11,Tuesday,0,0,Medium
Junction C,44,8,26,7,85,Rainy,23.278419736578137,12,Tuesday,0,0,High
Junction A,56,14,33,12,115,Sunny,18.188597372598412,13,Tuesday,0,0,Medium
Junction C,50,9,31,11,101,Sunny,27.083768652795023,14,Tuesday,0,0,Medium
Junction C,64,10,23,10,107,Cloudy,27.041734950638542,15,Tuesday,0,0,High
Junction C,51,13,18,4,86,Rainy,24.181877132806456,16,Tuesday,0,0,High
Junction C,68,12,25,13,118,Cloudy,25.967056866009294,17,Tuesday,1,0,High
Junction C,56,18,30,13,117,Cloudy,18.007876163838535,18,Tuesday,1,0,High
Junction A,96,28,40,10,174,Sunny,15.457541661289731,19,Tuesday,1,0,Severe
Junction B,42,7,29,9,87,Rainy,15.118660613324511,20,Tuesday,0,0,High
Junction B,27,11,22,13,73,Cloudy,27.75501299208425,21,Tuesday,0,0,Medium
Junction C,45,8,14,6,73,Cloudy,28.32006550795961,22,Tuesday,0,0,Medium
Junction C,13,6,13,1,33,Sunny,24.019416148492745,23,Tuesday,0,0,Low
Junction B,32,7,7,5,51,Sunny,23.90976425718754,0,Wednesday,0,0,Low
Junction C,23,7,8,1,39,Cloudy,28.58931375017582,1,Wednesday,0,0,Low
Junction A,28,4,12,5,49,Rainy,17.021172954804864,2,Wednesday,0,0,Low
Junction C,26,5,14,4,49,Sunny,16.352607353730686,3,Wednesday,0,0,Low
Junction A,33,10,12,3,58,Cloudy,26.65666839522025,4,Wednesday,0,0,Low
Junction B,18,1,13,5,37,Rainy,18.146516944616778,5,Wednesday,0,0,Low
Junction C,28,4,4,3,39,Sunny,23.39215583697988,6,Wednesday,0,0,Low
Junction A,68,26,30,11,135,Rainy,28.08936228033371,7,Wednesday,1,0,Severe
Junction B,79,19,41,12,151,Sunny,15.082822176029861,8,Wednesday,1,0,Severe
Junction B,76,10,46,6,138,Sunny,22.603683517100542,9,Wednesday,1,0,Severe
Junction A,69,16,28,5,118,Sunny,20.746543348115814,10,Wednesday,0,0,High
Junction B,55,8,38,13,114,Sunny,26.657057456606047,11,Wednesday,0,0,High
Junction C,37,15,23,10,85,Sunny,16.941488567810968,12,Wednesday,0,0,Medium
Junction B,36,13,25,4,78,Rainy,20.110781494605078,13,Wednesday,0,0,High
Junction A,45,11,33,7,96,Rainy,19.82061729910672,14,Wednesday,0,0,High
Junction A,57,16,31,7,111,Sunny,21.530548078106445,15,Wednesday,0,0,Medium
Junction A,76,21,22,10,129,Cloudy,28.79576896855137,16,Wednesday,0,0,High
Junction A,76,16,30,14,136,Rainy,29.896741198671457,17,Wednesday,1,0,Severe
Junction C,59,9,31,11,110,Sunny,28.929834670999803,18,Wednesday,1,0,High
Junction A,69,21,25,14,129,Rainy,29.187170498371938,19,Wednesday,1,0,Severe
Junction B,62,12,14,3,91,Rainy,26.912414639560982,20,Wednesday,0,0,High
Junction A,63,11,11,12,97,Sunny,17.18011100942136,21,Wednesday,0,0,Medium
Junction A,60,11,19,1,91,Sunny,15.588978294471456,22,Wednesday,0,0,Medium
Junction C,24,2,0,0,26,Rainy,25.345835784699883,23,Wednesday,0,0,Low
Junction B,7,7,3,1,18,Sunny,17.481266802040782,0,Thursday,0,0,Low
Junction C,16,0,12,6,34,Sunny,29.666884739248438,1,Thursday,0,0,Low
Junction A,14,5,23,4,46,Sunny,25.900929363163282,2,Thursday,0,0,Low
Junction B,13,5,10,0,28,Rainy,23.752085501852207,3,Thursday,0,0,Low
Junction B,32,5,17,0,54,Sunny,21.827510779666504,4,Thursday,0,0,Low
Junction A,23,8,2,1,34,Sunny,18.68187417600674,5,Thursday,0,0,Low
Junction B,17,3,9,3,32,Rainy,17.17108647391095,6,Thursday,0,0,Low
Junction C,85,10,35,7,137,Sunny,23.448308178790583,7,Thursday,1,0,Severe
Junction B,72,17,44,15,148,Cloudy,15.492214749354547,8,Thursday,1,0,Severe
Junction B,74,21,22,7,124,Rainy,17.962761202645982,9,Thursday,1,0,Severe
Junction A,62,19,29,16,126,Cloudy,18.699843604285196,10,Thursday,0,0,High
Junction B,64,17,26,5,112,Sunny,20.843864965459037,11,Thursday,0,0,High
Junction A,82,10,28,18,138,Sunny,17.288345488044676,12,Thursday,0,0,High
Junction C,60,16,13,9,98,Cloudy,24.138367498852528,13,Thursday,0,0,Medium
Junction B,63,4,35,12,114,Sunny,23.39198057178572,14,Thursday,0,0,High
Junction B,76,10,17,9,112,Sunny,25.4251483463267,15,Thursday,0,0,High
Junction C,69,14,21,9,113,Sunny,27.347358421091037,16,Thursday,0,0,High
Junction A,85,20,36,6,147,Sunny,23.864098114510185,17,Thursday,1,0,High
Junction C,75,9,33,5,122,Sunny,18.91840900368246,18,Thursday,1,0,High
Junction C,69,12,25,11,117,Cloudy,15.484410538810785,19,Thursday,1,0,High
Junction C,54,10,15,3,82,Sunny,15.772263732499283,20,Thursday,0,0,Medium
Junction A,50,16,29,9,104,Cloudy,27.77388900114662,21,Thursday,0,0,Medium
Junction B,51,13,13,4,81,Sunny,27.57309489883902,22,Thursday,0,0,Medium
Junction A,30,8,6,4,48,Cloudy,20.16889215349751,23,Thursday,0,0,Low
Junction C,13,6,13,7,39,Cloudy,24.89665014662519,0,Friday,0,0,Low
Junction A,22,7,19,2,50,Sunny,26.580181903330928,1,Friday,0,0,Low
Junction B,13,8,11,1,33,Cloudy,21.998241128612662,2,Friday,0,0,Low
Junction A,18,6,11,3,38,Rainy,26.326898334913878,3,Friday,0,0,Low
Junction C,14,3,15,3,35,Sunny,28.29544430106302,4,Friday,0,0,Low
Junction C,20,3,3,5,31,Cloudy,23.91151942627946,5,Friday,0,0,Low
Junction B,24,5,9,1,39,Sunny,29.297694251888874,6,Friday,0,0,Low
Junction A,106,19,27,12,164,Sunny,20.076235366426637,7,Friday,1,0,Severe
Junction C,82,16,27,12,137,Sunny,23.74780034249771,8,Friday,1,0,Severe
Junction B,87,13,34,11,145,Cloudy,20.043452037308978,9,Friday,1,0,Severe
Junction C,68,6,24,11,109,Sunny,24.81315549283413,10,Friday,0,0,High
Junction A,68,5,35,13,121,Cloudy,15.078893286467626,11,Friday,0,0,High
Junction B,86,22,31,6,145,Sunny,28.96364529870207,12,Friday,0,0,Severe
Junction A,84,12,32,7,135,Cloudy,16.331989527149936,13,Friday,0,0,High
Junction A,68,20,34,9,131,Sunny,27.608172529190284,14,Friday,0,0,High
Junction B,51,10,25,9,95,Cloudy,28.6332712530163,15,Friday,0,0,High
Junction C,40,8,27,5,80,Sunny,21.62789435715936,16,Friday,0,0,Medium
Junction C,52,23,25,3,103,Rainy,15.064999747241734,17,Friday,1,0,Severe
Junction C,84,17,39,13,153,Cloudy,23.89991554147155,18,Friday,1,0,Severe
Junction A,100,22,37,10,169,Cloudy,18.416240916295827,19,Friday,1,0,Severe
Junction A,66,13,21,7,107,Sunny,19.521828097479727,20,Friday,0,0,Medium
Junction C,34,11,20,8,73,Sunny,23.587716063480993,21,Friday,0,0,Medium
Junction B,47,12,8,4,71,Rainy,19.32459888564014,22,Friday,0,0,Medium
Junction B,17,1,14,2,34,Rainy,23.637327547826267,23,Friday,0,0,Low
Junction C,16,5,0,4,25,Sunny,16.58664105824956,0,Saturday,0,1,Low
Junction B,14,7,16,2,39,Cloudy,17.042563390306093,1,Saturday,0,1,Low
Junction C,15,4,7,0,26,Cloudy,22.29803771729836,2,Saturday,0,1,Low
Junction B,11,4,8,6,29,Cloudy,24.886526180302702,3,Saturday,0,1,Low
Junction C,16,3,7,2,28,Sunny,18.151717882364615,4,Saturday,0,1,Low
Junction A,13,7,16,3,39,Cloudy,22.55503597069615,5,Saturday,0,1,Low
Junction B,14,4,8,0,26,Rainy,26.39977086591354,6,Saturday,0,1,Low
Junction B,55,14,16,9,94,Sunny,20.156944027379573,7,Saturday,1,1,Medium
Junction A,60,13,32,9,114,Cloudy,21.20766302696093,8,Saturday,1,1,High
Junction C,33,17,34,11,95,Cloudy,28.156118724909284,9,Saturday,1,1,Medium
Junction A,43,8,23,2,76,Rainy,19.776493461254084,10,Saturday,0,1,Medium
Junction B,30,5,23,5,63,Rainy,19.390198078509435,11,Saturday,0,1,Medium
Junction A,39,4,17,5,65,Sunny,29.442601806948876,12,Saturday,0,1,Low
Junction C,34,14,16,9,73,Rainy,18.165993531748256,13,Saturday,0,1,Medium
Junction C,37,1,19,4,61,Rainy,27.687823835375454,14,Saturday,0,1,Medium
Junction C,21,3,2,5,31,Cloudy,15.247287030800033,15,Saturday,0,1,Low
Junction A,54,6,23,6,89,Cloudy,17.806362235944043,16,Saturday,0,1,Medium
Junction C,39,12,30,3,84,Rainy,29.848020817626328,17,Saturday,1,1,High
Junction A,41,14,26,6,87,Rainy,17.098294916155638,18,Saturday,1,1,Medium
Junction B,48,8,25,14,95,Rainy,28.267139370248305,19,Saturday,1,1,High
Junction A,47,11,21,8,87,Sunny,26.781648434028874,20,Saturday,0,1,Medium
Junction B,30,6,9,6,51,Sunny,27.845139400611117,21,Saturday,0,1,Low
Junction A,34,11,24,9,78,Sunny,28.54715909095266,22,Saturday,0,1,Medium
Junction C,29,0,2,4,35,Rainy,26.868464544755753,23,Saturday,0,1,Low
Junction C,17,1,2,2,22,Sunny,22.71755878355002,0,Sunday,0,1,Low
Junction C,8,6,5,1,20,Sunny,17.25204019824625,1,Sunday,0,1,Low
Junction B,4,2,10,3,19,Sunny,18.945553853309526,2,Sunday,0,1,Low
Junction C,20,7,0,3,30,Cloudy,24.864017158877225,3,Sunday,0,1,Low
Junction C,8,8,14,3,33,Rainy,24.52498228890866,4,Sunday,0,1,Low
Junction A,23,3,3,5,34,Sunny,15.353005718677384,5,Sunday,0,1,Low
Junction A,12,0,4,3,19,Sunny,21.86463358284648,6,Sunday,0,1,Low
Junction C,30,11,20,6,67,Sunny,23.250324626331306,7,Sunday,1,1,Medium
Junction B,37,7,20,12,76,Sunny,28.750078637057698,8,Sunday,1,1,Medium
Junction A,51,12,31,8,102,Cloudy,18.24923373910711,9,Sunday,1,1,Medium
Junction C,28,10,14,2,54,Sunny,18.81020196151383,10,Sunday,0,1,Low
Junction C,21,9,13,5,48,Sunny,24.622391693620678,11,Sunday,0,1,Low
Junction B,37,2,15,5,59,Cloudy,18.519257886454664,12,Sunday,0,1,Medium
Junction A,33,13,16,9,71,Sunny,20.899683018593265,13,Sunday,0,1,Low
Junction A,37,9,24,8,78,Sunny,18.219127552196746,14,Sunday,0,1,Medium
Junction A,30,6,17,9,62,Rainy,22.484389087272834,15,Sunday,0,1,Medium
Junction C,16,6,19,3,44,Sunny,23.133831724106475,16,Sunday,0,1,Low
Junction C,41,12,17,7,77,Cloudy,27.761710727143914,17,Sunday,1,1,Medium
Junction B,33,12,15,2,62,Rainy,15.851236352289781,18,Sunday,1,1,Medium
Junction B,39,10,21,3,73,Sunny,16.17913985289467,19,Sunday,1,1,Medium
Junction B,35,4,8,4,51,Cloudy,29.377393740881068,20,Sunday,0,1,Low
Junction A,41,4,6,3,54,Cloudy,25.36648027670376,21,Sunday,0,1,Low
Junction B,31,1,21,1,54,Sunny,28.990512250017453,22,Sunday,0,1,Low
Junction C,18,2,9,5,34,Sunny,27.830782486993865,23,Sunday,0,1,Low
Junction A,31,8,13,2,54,Sunny,20.696256046318048,0,Monday,0,0,Low
Junction C,22,7,13,6,48,Cloudy,24.733570620910147,1,Monday,0,0,Low
Junction C,17,9,4,1,31,Cloudy,20.55908408203078,2,Monday,0,0,Low
Junction C,28,9,15,0,52,Rainy,15.596303598510609,3,Monday,0,0,Medium
Junction C,26,6,13,0,45,Cloudy,20.274840837677694,4,Monday,0,0,Low
Junction A,26,4,14,3,47,Cloudy,18.324718832889452,5,Monday,0,0,Low
Junction C,34,5,12,0,51,Sunny,18.479486379610382,6,Monday,0,0,Low
Junction C,91,21,20,9,141,Sunny,18.511533756995796,7,Monday,1,0,Severe
Junction A,111,17,46,14,188,Sunny,29.454472681197558,8,Monday,1,0,Severe
Junction A,100,22,42,13,177,Rainy,28.23549517308096,9,Monday,1,0,Severe
Junction B,56,11,20,6,93,Cloudy,19.160418705361494,10,Monday,0,0,High
Junction C,56,10,26,13,105,Sunny,16.369525599100985,11,Monday,0,0,High
Junction B,53,10,24,13,100,Rainy,24.08812196352835,12,Monday,0,0,Severe
Junction C,58,10,26,14,108,Rainy,17.690914096677936,13,Monday,0,0,Severe
Junction C,56,15,27,9,107,Sunny,19.513134954364784,14,Monday,0,0,High
Junction C,56,13,17,6,92,Sunny,27.37345210813199,15,Monday,0,0,Medium
Junction A,67,16,25,8,116,Sunny,20.12009830800323,16,Monday,0,0,Medium
Junction C,78,14,42,6,140,Sunny,24.392532256329247,17,Monday,1,0,Severe
Junction C,65,19,38,10,132,Sunny,15.345217751862682,18,Monday,1,0,High
Junction C,76,14,40,17,147,Cloudy,19.577537577143236,19,Monday,1,0,Severe
Junction A,58,15,18,2,93,Sunny,26.059829841634816,20,Monday,0,0,Medium
Junction C,35,12,13,7,67,Rainy,23.429828810082935,21,Monday,0,0,Medium
Junction C,49,12,13,5,79,Sunny,28.05645468676238,22,Monday,0,0,Medium
Junction C,25,8,13,4,50,Sunny,18.55324753094494,23,Monday,0,0,Low
Junction A,27,5,8,5,45,Cloudy,24.680277791743407,0,Tuesday,0,0,Low
Junction C,20,5,3,9,37,Cloudy,29.638207058223202,1,Tuesday,0,0,Low
Junction B,14,0,2,4,20,Sunny,24.36596167299631,2,Tuesday,0,0,Low
Junction C,12,7,7,7,33,Sunny,26.526895923984455,3,Tuesday,0,0,Low
Junction B,21,2,9,4,36,Sunny,15.89094943496433,4,Tuesday,0,0,Low
Junction B,25,1,6,1,33,Sunny,23.442597255131048,5,Tuesday,0,0,Low
Junction C,8,1,15,1,25,Cloudy,28.961428545614655,6,Tuesday,0,0,Low
Junction A,73,14,40,17,144,Rainy,25.571807250064843,7,Tuesday,1,0,Severe
Junction A,106,25,36,11,178,Cloudy,24.726302219827488,8,Tuesday,1,0,Severe
Junction C,66,10,31,12,119,Cloudy,22.338397657350228,9,Tuesday,1,0,High
Junction A,61,16,37,7,121,Sunny,20.775866018128067,10,Tuesday,0,0,High
Junction C,59,12,16,4,91,Sunny,28.068758316226976,11,Tuesday,0,0,Medium
Junction C,50,11,9,3,73,Cloudy,17.607709693671485,12,Tuesday,0,0,Medium
Junction C,53,15,32,2,102,Cloudy,26.18008339499798,13,Tuesday,0,0,High
Junction B,52,12,31,9,104,Sunny,23.2682685284471,14,Tuesday,0,0,High
Junction A,64,20,32,10,126,Cloudy,18.353510982149917,15,Tuesday,0,0,High
Junction C,51,9,17,9,86,Rainy,21.154123187569414,16,Tuesday,0,0,High
Junction C,85,20,40,10,155,Sunny,16.74819950805837,17,Tuesday,1,0,Severe
Junction C,66,18,27,10,121,Cloudy,26.844628524621363,18,Tuesday,1,0,High
Junction C,76,26,24,9,135,Sunny,18.350246700140012,19,Tuesday,1,0,High
Junction C,51,10,13,6,80,Cloudy,19.00454087908117,20,Tuesday,0,0,Medium
Junction C,32,6,32,9,79,Sunny,24.101503497283897,21,Tuesday,0,0,Medium
Junction C,45,11,18,7,81,Sunny,22.739588944064774,22,Tuesday,0,0,Medium
Junction C,23,4,8,4,39,Cloudy,16.9672382226219,23,Tuesday,0,0,Low
Junction B,16,3,8,7,34,Cloudy,22.22600291838299,0,Wednesday,0,0,Low
Junction B,7,2,15,5,29,Sunny,17.570128672840944,1,Wednesday,0,0,Low
Junction A,18,6,12,2,38,Cloudy,19.267557712702928,2,Wednesday,0,0,Low
Junction C,20,8,15,5,48,Cloudy,24.87560000416665,3,Wednesday,0,0,Low
Junction A,10,13,15,3,41,Sunny,27.28679068325998,4,Wednesday,0,0,Low
Junction C,21,10,7,5,43,Sunny,20.29615767664771,5,Wednesday,0,0,Low
